dist,angle,y_off,open_frac,open_frac_nogk,open_angle,gk_block_share,n_visible,n_opp_visible,has_gk,n_def_cone,n_def_3m,n_def_5m,d_def_min,n_corridor,d_corridor,gk_dist_goal,gk_dist_shot,gk_in_cone,gk_off_line,n_att_box,n_def_box,inside_box,shooter_speed,shooter_accel,ball_z,ball_speed,def_closing,orient,source,match_id,shot_id,goal,ref_xg,shot_type,body_part,is_head,is_fk,technique,play_pattern,under_pressure,minute,period,score_diff,dfl_dist,dfl_angle
9.648860036294442,40.591809568160365,2.460000000000001,0.2809917355371901,0.33884297520661155,11.4059630191525,0.05785123966942146,22,11,1,0,4,6,0.6003332407921467,4,0.3982853918021825,0.6099999999999994,9.060353193998564,1,0.15552096251323494,4,8,1,1.97,0.37,1.94,3.47,0.9935389065793908,14.40582816645073,dfl,DFL-MAT-J03WMX,18226500001292,0,0.0466,openPlay,head,1,0,volley,cornerKick,,87.1799,,1,9.65,40.59
14.776295205497219,25.19208078017022,6.700000000000003,0.15702479338842976,0.19834710743801653,3.955781279530861,0.04132231404958678,22,11,1,2,1,4,2.5600781238079473,3,2.525274399371642,2.3286262044389994,12.458290412412136,1,0.20398211852715822,3,6,1,13.33,-3.47,0.09,17.76,0.5644384125577507,85.19023460637234,dfl,DFL-MAT-J03WMX,18226500001277,0,0.0815,openPlay,leftLeg,0,0,dribblingMore10m,run,,87.8936,,1,14.78,25.19
8.587228889461368,25.5446599231172,7.6299999999999955,0.0,1.0,0.0,1.0,22,11,1,0,1,2,2.0436486977951964,1,0.6007176548339886,7.636471698369611,0.9563472172804104,1,0.09736551928016222,3,6,1,3.23,4.12,1.67,40.53,1.3683544084025154,33.92130284570826,dfl,DFL-MAT-J03WMX,18226500001279,0,0.0544,openPlay,head,1,0,volley,run,,87.95323333333334,,1,8.59,25.54
6.495182830375138,50.373053604045154,4.43,0.33884297520661155,0.33884297520661155,17.068555353436786,0.0,22,11,1,1,1,5,1.4840485167271362,1,1.4767867588180001,0.768439978137525,5.833532377556495,1,0.3701666393062999,5,10,1,13.91,0.13,0.15,47.94,2.4856997988635854,8.910648025214169,dfl,DFL-MAT-J03WMX,18226500001344,0,0.2451,openPlay,leftLeg,0,0,direct,cornerKick,,92.50723333333333,,-1,6.5,50.37
16.474820181112754,14.643027431566745,13.659999999999997,0.7024793388429752,1.0,10.286424228786556,0.2975206611570248,22,11,1,0,1,1,1.5677372228788755,1,0.6387626623120644,4.678995618719891,11.79627483572675,1,0.05492624441737561,0,3,1,25.6,-2.2,0.2,47.31,-0.08773339633451623,37.32852014483638,dfl,DFL-MAT-J03WMX,18226500001347,0,0.0577,openPlay,rightLeg,0,0,dribblingMore10m,run,,92.8749,,1,16.47,14.64
14.857859872808058,25.28255943990655,6.460000000000001,0.6033057851239669,0.7851239669421488,15.253114372836182,0.18181818181818188,22,11,1,0,1,2,1.8852055590836727,2,1.7538730492196355,3.652245884384017,11.207323498498647,1,0.09703954757567032,3,4,1,8.68,-5.65,0.11,14.61,3.6804257134701057,53.373701482733395,dfl,DFL-MAT-J03WMX,18226500001392,0,0.1118,openPlay,rightLeg,0,0,dribblingLess10m,lossOfPossession,,95.19646666666667,,1,14.86,25.28
19.38941979534199,19.047266436213807,9.14,0.5041322314049587,0.512396694214876,9.602340930653241,0.008264462809917328,22,11,1,2,1,2,1.0623088063270367,4,0.5115057647254806,2.1107344693257866,17.365022314987094,1,0.565380507292619,3,8,0,18.3,-3.51,0.0,0.0,1.7719608757548542,61.64572478486504,dfl,DFL-MAT-J03WMX,18226500001554,1,0.0498,openPlay,rightLeg,0,0,dribblingLess10m,passOpenPlay,,107.0679,,1,19.39,19.05
16.149928792412677,23.489779176999527,6.710000000000001,0.0,0.0,0.0,0.0,22,11,1,1,3,3,1.1322543883774523,2,1.123633437227622,3.1303993355481063,13.020138248113952,1,0.05543058495840644,2,4,1,9.0,-4.03,0.0,3.1,3.8990890554441164,26.059618850077843,dfl,DFL-MAT-J03WN1,18226900000020,0,0.0354,openPlay,rightLeg,0,0,dribblingLess10m,passOpenPlay,,0.0,,0,16.15,23.49
14.446193270200972,20.94110030788588,10.219999999999999,0.8181818181818182,1.0,17.1336275246339,0.18181818181818177,22,11,1,0,1,3,2.6565014586858315,2,2.389453010517535,2.699407342362391,11.848160194730655,1,0.6633996805074385,4,6,1,4.49,0.9,0.53,34.71,4.366350310481138,31.437096473811806,dfl,DFL-MAT-J03WN1,18226900000023,0,0.0426,openPlay,rightLeg,0,0,controlShot,passOpenPlay,,0.08348333333333334,,0,14.45,20.94
11.276652872195726,32.048473028236444,5.700000000000003,0.6859504132231405,0.6859504132231405,21.983663316889462,0.0,22,11,1,1,1,3,2.6744158240632743,2,2.376228150648266,0.2640075756488833,11.06146464081498,1,0.15148111938533187,4,10,1,4.11,2.9,0.0,52.92,0.4298613680305506,129.4126408680914,dfl,DFL-MAT-J03WN1,18226900000027,0,0.0785,openPlay,rightLeg,0,0,volley,cornerKick,,0.9612999999999999,,0,11.28,32.05
